sequence, time, avgAX, minAX, maxAX, avgAY, minAY, maxAY, avgAZ, minAZ, maxAZ, avgGX, minGX, maxGX, avgGY, minGY, maxGY, avgGZ, minGZ, maxGZ, avgCX, minCX, maxCX, avgCY, minCY, maxCY, avgCZ , minCZ, maxCZ
145, 2017-11-9 14:29:27, -0.47, -0.53, -0.43, -0.12, -0.19, -0.09, -0.47, -0.01, 0.10, -0.21, -1.23, 0.61, 0.61, 0.22, 0.97, 0.09, -0.24, 0.75, 317.82, 308.04, 323.68, -118.92, -126.00, -112.20, 200.58, 192.68, 214.76
146, 2017-11-9 14:29:34, -0.47, -0.53, -0.41, -0.12, -0.16, -0.09, -0.47, -0.02, 0.11, -0.21, -0.79, 0.30, 0.56, 0.26, 0.81, 0.11, -0.38, 0.46, 286.53, 281.36, 292.40, -88.38, -97.48, -73.56, 231.01, 222.12, 240.52
147, 2017-11-9 14:29:41, -0.47, -0.50, -0.44, -0.10, -0.13, -0.07, -0.47, 0.05, 0.11, -0.27, -0.78, 0.23, 0.56, 0.36, 0.72, 0.03, -0.23, 0.28, 310.30, 292.40, 324.60, -100.95, -109.44, -92.88, 224.78, 218.44, 235.92
148, 2017-11-9 14:29:48, -0.47, -0.49, -0.45, -0.12, -0.14, -0.11, -0.47, 0.00, 0.04, -0.23, -0.41, 0.01, 0.56, 0.47, 0.71, 0.08, -0.05, 0.20, 298.82, 295.16, 302.52, -91.23, -98.40, -83.68, 239.42, 234.08, 245.12
149, 2017-11-9 14:29:55, -0.47, -0.48, -0.45, -0.12, -0.14, -0.10, -0.47, 0.03, 0.07, -0.26, -0.55, 0.29, 0.55, 0.23, 0.77, 0.06, -0.26, 0.38, 312.25, 304.36, 321.84, -94.43, -102.08, -85.52, 237.29, 231.32, 243.28
150, 2017-11-9 14:30:2, -0.48, -0.63, -0.37, -0.09, -0.22, -0.05, -0.48, -0.07, 0.09, -0.21, -1.32, 0.66, 0.63, 0.25, 1.15, 0.14, -0.76, 0.97, 297.60, 289.64, 309.88, -96.95, -107.60, -86.44, 253.81, 244.20, 265.36
151, 2017-11-9 14:30:9, -0.48, -0.51, -0.45, -0.09, -0.12, -0.06, -0.48, -0.00, 0.08, -0.22, -1.18, 0.17, 0.50, 0.32, 0.67, 0.08, -0.30, 0.43, 287.04, 277.68, 297.00, -84.40, -91.04, -78.16, 265.15, 254.32, 279.16
152, 2017-11-9 14:30:16, -0.47, -0.50, -0.43, -0.10, -0.14, -0.06, -0.47, 0.02, 0.11, -0.28, -0.81, 0.43, 0.60, 0.38, 0.96, -0.01, -0.31, 0.45, 305.03, 289.64, 317.24, -92.42, -101.16, -70.80, 269.19, 260.76, 278.24
153, 2017-11-9 14:30:23, -0.47, -0.65, -0.37, -0.12, -0.21, -0.06, -0.47, -0.16, 0.08, -0.52, -2.49, 1.13, 0.23, -0.41, 1.32, -0.01, -0.98, 1.22, 306.11, 285.96, 330.12, -52.09, -64.36, -42.28, 207.47, 189.92, 229.48
154, 2017-11-9 14:30:30, -0.46, -0.51, -0.41, -0.15, -0.20, -0.12, -0.46, -0.06, 0.05, -0.23, -1.05, 1.05, 0.57, -0.50, 1.19, 0.09, -0.52, 0.63, 313.70, 304.36, 325.52, -67.43, -75.40, -56.08, 188.98, 177.04, 200.96
155, 2017-11-9 14:30:37, -0.46, -0.56, -0.35, -0.18, -0.23, -0.10, -0.46, -0.11, 0.04, -0.26, -1.49, 0.90, 0.76, 0.15, 1.26, 0.03, -0.79, 0.81, 305.31, 290.56, 329.20, -50.52, -57.00, -42.28, 221.48, 208.32, 235.00
156, 2017-11-9 14:30:45, -0.48, -0.50, -0.45, -0.11, -0.13, -0.06, -0.48, -0.04, 0.02, -0.22, -0.56, 0.08, 0.76, 0.61, 0.96, 0.06, -0.16, 0.30, 249.56, 242.72, 260.20, -63.72, -76.32, -46.88, 248.44, 239.60, 257.08
157, 2017-11-9 14:30:52, -0.47, -0.49, -0.45, -0.12, -0.14, -0.08, -0.47, -0.05, 0.02, -0.11, -0.63, 0.65, 0.91, 0.61, 1.28, 0.16, -0.24, 0.81, 150.38, 142.44, 163.60, -167.38, -187.92, -157.56, 310.66, 301.24, 329.76
158, 2017-11-9 14:30:59, -0.46, -0.50, -0.40, -0.14, -0.20, -0.09, -0.46, -0.04, 0.04, -0.21, -1.81, 0.58, 0.35, -0.65, 0.89, -0.11, -2.08, 1.16, 177.73, 167.28, 183.84, -140.70, -150.20, -133.64, 285.41, 275.48, 298.48
159, 2017-11-9 14:31:6, -0.46, -0.48, -0.44, -0.14, -0.17, -0.10, -0.46, -0.06, -0.02, -0.24, -0.93, 0.17, 0.58, 0.37, 1.29, 0.11, -0.44, 0.79, 154.55, 151.64, 157.16, -139.23, -143.76, -136.40, 295.40, 291.12, 305.84
160, 2017-11-9 14:31:13, -0.46, -0.47, -0.45, -0.13, -0.14, -0.12, -0.46, -0.08, -0.03, -0.22, -0.49, 0.07, 0.55, 0.43, 0.70, 0.10, -0.07, 0.33, 152.03, 135.08, 158.08, -138.04, -148.36, -133.64, 298.35, 292.96, 305.84
161, 2017-11-9 14:31:20, -0.46, -0.47, -0.44, -0.13, -0.15, -0.12, -0.46, -0.07, -0.04, -0.22, -0.61, 0.06, 0.54, 0.39, 0.69, 0.09, -0.17, 0.62, 154.41, 150.72, 160.84, -136.58, -141.00, -132.72, 294.77, 284.68, 304.92
162, 2017-11-9 14:31:27, -0.48, -0.50, -0.45, -0.10, -0.11, -0.08, -0.48, -0.06, -0.01, -0.24, -0.48, -0.05, 0.37, 0.29, 0.51, 0.07, -0.09, 0.20, 150.26, 143.36, 157.16, -186.95, -202.64, -178.72, 312.28, 306.76, 321.48
163, 2017-11-9 14:31:34, -0.46, -0.50, -0.43, -0.16, -0.18, -0.12, -0.46, -0.06, 0.02, -0.11, -0.45, 0.67, 1.08, 0.82, 1.36, 0.15, -0.12, 0.60, 166.52, 148.88, 172.80, -164.95, -178.72, -145.60, 291.44, 276.40, 308.60
164, 2017-11-9 14:31:41, -0.47, -0.48, -0.46, -0.12, -0.13, -0.10, -0.47, -0.02, 0.02, -0.16, -0.60, 0.51, 0.60, 0.01, 0.77, 0.09, -0.40, 0.37, 177.80, 174.64, 181.08, -130.10, -134.56, -126.28, 197.11, 193.60, 203.72
165, 2017-11-9 14:31:48, -0.47, -0.49, -0.46, -0.11, -0.12, -0.09, -0.47, -0.02, 0.02, -0.14, -0.26, 0.00, 0.72, 0.66, 0.89, 0.13, 0.06, 0.25, 181.52, 176.48, 186.60, -137.41, -144.68, -131.80, 159.63, 149.44, 168.76
166, 2017-11-9 14:31:55, -0.48, -0.53, -0.41, -0.10, -0.21, -0.03, -0.48, -0.03, 0.12, -0.22, -2.56, 1.60, -0.21, -1.11, 0.40, 0.23, -1.74, 3.28, 228.51, 205.92, 250.08, -171.61, -193.44, -148.36, 289.96, 265.36, 304.92
167, 2017-11-9 14:32:2, -0.46, -0.51, -0.38, -0.14, -0.19, -0.08, -0.46, -0.08, 0.05, -0.23, -1.09, 0.66, 0.50, 0.04, 0.90, 0.09, -0.60, 1.07, 172.61, 161.76, 182.00, -178.09, -198.96, -167.68, 311.82, 294.80, 322.40
168, 2017-11-9 14:32:9, -0.47, -0.54, -0.38, -0.12, -0.19, -0.06, -0.47, -0.04, 0.07, -0.17, -0.84, 0.62, 0.56, 0.06, 1.01, 0.11, -0.73, 0.69, 183.99, 174.64, 199.48, -171.31, -184.24, -160.32, 295.65, 286.52, 315.04
169, 2017-11-9 14:32:16, -0.48, -0.59, -0.39, -0.09, -0.15, -0.04, -0.48, -0.05, 0.12, -0.13, -1.61, 0.75, 0.55, -0.05, 0.98, -0.13, -0.95, 0.58, 185.58, 167.28, 198.56, -193.09, -201.72, -180.56, 309.27, 293.88, 325.16
170, 2017-11-9 14:32:23, -0.47, -0.54, -0.39, -0.12, -0.17, -0.08, -0.47, -0.06, 0.02, -0.26, -0.96, 0.31, 0.56, 0.36, 0.83, 0.08, -0.46, 0.63, 178.65, 164.52, 190.28, -184.79, -188.84, -182.40, 330.22, 325.16, 338.96
171, 2017-11-9 14:32:30, -0.46, -0.51, -0.43, -0.14, -0.17, -0.11, -0.46, -0.05, 0.03, -0.14, -0.85, 0.43, 0.56, 0.09, 0.90, 0.10, -0.55, 0.43, 175.17, 151.64, 192.12, -157.44, -192.52, -76.60, 278.05, 257.08, 325.16
172, 2017-11-9 14:32:37, -0.48, -0.53, -0.41, -0.15, -0.20, -0.11, -0.48, 0.00, 0.14, 0.11, -1.03, 1.09, 1.80, 1.43, 2.40, 0.22, -0.79, 1.02, 157.95, 151.64, 163.60, -149.92, -175.04, -135.48, 267.42, 234.08, 312.28
173, 2017-11-9 14:32:44, -0.48, -0.51, -0.44, -0.09, -0.12, -0.05, -0.48, -0.05, 0.04, -0.32, -1.48, 0.38, 0.50, 0.27, 0.87, -0.01, -0.60, 0.45, 214.05, 208.68, 222.48, -170.09, -176.88, -163.08, 125.17, 117.24, 134.72
174, 2017-11-9 14:32:51, -0.47, -0.50, -0.42, -0.13, -0.15, -0.11, -0.47, -0.02, 0.03, -0.23, -0.45, 0.15, 0.60, 0.46, 0.71, 0.04, -0.20, 0.43, 204.00, 198.56, 210.52, -168.61, -173.20, -164.92, 120.09, 114.48, 135.64
175, 2017-11-9 14:32:58, -0.47, -0.50, -0.42, -0.13, -0.16, -0.11, -0.47, -0.04, 0.03, -0.13, -0.56, 0.32, 0.51, 0.37, 0.61, 0.08, -0.24, 0.40, 201.81, 189.36, 209.60, -165.86, -175.04, -154.80, 123.53, 116.32, 133.80
176, 2017-11-9 14:33:5, -0.46, -0.48, -0.43, -0.15, -0.18, -0.12, -0.46, -0.04, 0.05, -0.15, -0.87, 0.57, 0.58, 0.33, 0.78, 0.11, -0.47, 0.68, 201.04, 189.36, 209.60, -153.36, -159.40, -148.36, 138.72, 131.04, 150.36
177, 2017-11-9 14:33:12, -0.46, -0.48, -0.44, -0.17, -0.20, -0.13, -0.46, 0.00, 0.05, -0.07, -0.66, 0.58, 1.08, 0.85, 1.35, 0.17, -0.15, 0.58, 237.11, 226.16, 248.24, -266.07, -291.88, -239.44, 66.22, 55.60, 77.68
178, 2017-11-9 14:33:19, -0.46, -0.50, -0.44, -0.11, -0.16, -0.07, -0.46, -0.09, 0.00, -0.22, -0.96, 0.41, 0.61, 0.27, 0.87, 0.06, -0.48, 0.57, 284.34, 275.84, 293.32, -27.88, -35.84, -22.96, 71.13, 64.80, 78.60
179, 2017-11-9 14:33:27, -0.47, -0.50, -0.44, -0.12, -0.13, -0.09, -0.47, -0.04, 0.01, -0.18, -0.52, 0.15, 0.54, 0.37, 0.65, 0.12, -0.20, 0.30, 236.18, 230.76, 242.72, -28.17, -34.92, -22.04, 93.26, 88.72, 100.68
180, 2017-11-9 14:33:34, -0.47, -0.49, -0.46, -0.12, -0.13, -0.09, -0.47, -0.02, 0.02, -0.20, -0.47, -0.04, 0.54, 0.48, 0.59, 0.08, -0.07, 0.20, 241.80, 237.20, 245.48, -29.29, -38.60, -16.52, 91.00, 85.96, 97.92
181, 2017-11-9 14:33:41, -0.48, -0.48, -0.47, -0.09, -0.10, -0.09, -0.48, 0.03, 0.05, -0.20, -0.28, -0.15, 0.54, 0.51, 0.56, 0.08, 0.05, 0.13, 245.32, 239.96, 250.08, -36.25, -40.44, -33.08, 87.89, 84.12, 97.92
182, 2017-11-9 14:33:48, -0.48, -0.49, -0.47, -0.09, -0.11, -0.08, -0.48, 0.03, 0.06, -0.21, -0.45, -0.05, 0.54, 0.46, 0.63, 0.08, -0.09, 0.21, 245.30, 241.80, 248.24, -48.11, -54.24, -42.28, 99.12, 96.08, 105.28
183, 2017-11-9 14:33:55, -0.47, -0.50, -0.41, -0.11, -0.14, -0.09, -0.47, -0.05, 0.09, -0.15, -1.65, 1.04, 0.43, -0.23, 0.79, -0.01, -0.88, 0.61, 71.54, 59.64, 84.48, -322.76, -330.52, -315.80, 229.02, 213.84, 259.84
184, 2017-11-9 14:34:2, -0.46, -0.49, -0.44, -0.15, -0.17, -0.12, -0.46, -0.05, 0.02, -0.22, -0.54, 0.20, 0.55, 0.38, 0.75, 0.12, -0.13, 0.37, 51.50, 43.08, 56.88, -313.76, -318.56, -306.60, 226.48, 220.28, 235.92
185, 2017-11-9 14:34:9, -0.47, -0.52, -0.41, -0.11, -0.14, -0.08, -0.47, 0.02, 0.10, -0.16, -0.71, 0.50, 0.53, 0.34, 0.72, 0.07, -0.32, 0.53, 35.18, 29.28, 40.32, -318.67, -333.28, -310.28, 201.23, 193.60, 213.84
186, 2017-11-9 14:34:16, -0.47, -0.51, -0.44, -0.11, -0.14, -0.07, -0.47, -0.02, 0.04, -0.16, -0.71, 0.41, 0.47, 0.22, 0.70, 0.10, -0.26, 0.55, 42.29, 33.88, 52.28, -300.63, -312.12, -290.04, 209.15, 201.88, 220.28
187, 2017-11-9 14:34:23, -0.46, -0.53, -0.37, -0.14, -0.18, -0.09, -0.46, -0.03, 0.09, -0.22, -0.71, 0.75, 0.54, 0.26, 0.74, 0.06, -0.48, 0.65, 32.45, 25.60, 36.64, -289.89, -297.40, -279.00, 207.90, 201.88, 223.04
188, 2017-11-9 14:34:30, -0.46, -0.53, -0.37, -0.13, -0.18, -0.09, -0.46, -0.04, 0.12, -0.17, -1.48, 0.81, 0.54, 0.12, 0.92, 0.10, -0.63, 0.67, 42.11, 36.64, 50.44, -295.67, -305.68, -284.52, 215.08, 206.48, 226.72
189, 2017-11-9 14:34:37, -0.46, -0.60, -0.34, -0.14, -0.20, -0.09, -0.46, -0.09, 0.11, -0.13, -1.63, 1.76, 0.51, 0.22, 0.83, 0.13, -0.73, 1.06, 36.36, 29.28, 43.08, -288.43, -296.48, -271.64, 222.19, 214.76, 236.84
190, 2017-11-9 14:34:44, -0.47, -0.51, -0.43, -0.13, -0.18, -0.09, -0.47, -0.02, 0.05, -0.37, -0.96, 0.17, 0.54, 0.38, 0.68, -0.01, -0.45, 0.47, 26.90, 20.08, 33.88, -293.01, -302.00, -286.36, 210.08, 200.96, 219.36
191, 2017-11-9 14:34:51, -0.47, -0.51, -0.41, -0.12, -0.18, -0.09, -0.47, -0.03, 0.04, -0.25, -1.11, 0.30, 0.55, 0.30, 0.85, 0.05, -0.60, 0.52, 15.79, 9.96, 22.84, -300.06, -303.84, -293.72, 197.87, 192.68, 206.48
192, 2017-11-9 14:34:58, -0.47, -0.51, -0.43, -0.12, -0.15, -0.07, -0.47, -0.03, 0.07, -0.16, -1.31, 0.66, 0.49, -0.06, 0.87, 0.05, -0.56, 0.86, 123.22, 0.76, 359.84, -306.90, -319.48, -294.64, 182.49, 169.68, 195.44
193, 2017-11-9 14:35:5, -0.47, -0.50, -0.43, -0.12, -0.14, -0.09, -0.47, -0.01, 0.04, -0.14, -0.54, 0.31, 0.52, 0.35, 0.66, 0.12, -0.15, 0.49, 49.43, 0.76, 359.84, -300.54, -307.52, -291.88, 184.24, 176.12, 197.28
194, 2017-11-9 14:35:12, -0.45, -0.50, -0.40, -0.16, -0.18, -0.11, -0.45, -0.08, 0.02, -0.18, -0.78, 0.30, 0.55, 0.23, 0.68, 0.07, -0.45, 0.50, 25.71, 3.52, 359.84, -291.83, -299.24, -283.60, 202.78, 190.84, 215.68
195, 2017-11-9 14:35:19, -0.46, -0.50, -0.43, -0.14, -0.17, -0.09, -0.46, -0.04, 0.07, -0.20, -0.90, 0.39, 0.55, 0.20, 1.08, 0.02, -0.55, 0.46, 13.88, 5.36, 21.92, -276.72, -290.96, -241.28, 191.60, 174.28, 201.88
196, 2017-11-9 14:35:26, -0.47, -0.48, -0.44, -0.12, -0.15, -0.10, -0.47, -0.04, 0.00, -0.22, -0.52, 0.08, 0.55, 0.38, 0.73, 0.08, -0.22, 0.39, 14.38, 11.80, 19.16, -256.37, -260.60, -252.32, 188.30, 184.40, 195.44
197, 2017-11-9 14:35:33, -0.48, -0.50, -0.45, -0.10, -0.12, -0.08, -0.48, -0.03, 0.04, -0.22, -0.55, 0.18, 0.53, 0.24, 0.75, 0.06, -0.32, 0.44, 9.39, 4.44, 17.32, -273.60, -297.40, -260.60, 183.53, 175.20, 195.44
198, 2017-11-9 14:35:40, -0.48, -0.50, -0.45, -0.11, -0.14, -0.09, -0.48, -0.01, 0.04, -0.17, -0.67, 0.09, 0.52, 0.39, 0.75, 0.09, -0.38, 0.36, 18.99, 12.72, 25.60, -283.05, -288.20, -277.16, 189.98, 176.12, 203.72
199, 2017-11-9 14:35:47, -0.46, -0.50, -0.43, -0.13, -0.18, -0.10, -0.46, 0.00, 0.07, -0.28, -0.88, 0.31, 0.59, 0.43, 0.80, -0.03, -0.54, 0.48, 13.51, 4.44, 25.60, -273.49, -280.84, -267.04, 185.12, 173.36, 194.52
200, 2017-11-9 14:35:54, -0.46, -0.51, -0.40, -0.13, -0.17, -0.07, -0.46, -0.03, 0.05, -0.04, -0.69, 0.61, 0.52, 0.29, 0.73, 0.16, -0.56, 0.87, 9.89, 1.68, 16.40, -270.15, -279.00, -263.36, 191.69, 183.48, 200.04
201, 2017-11-9 14:36:1, -0.46, -0.50, -0.41, -0.12, -0.16, -0.07, -0.46, -0.09, -0.02, -0.09, -0.63, 0.65, 0.53, 0.16, 1.00, 0.09, -0.40, 0.64, 19.32, 11.80, 28.36, -266.54, -273.48, -260.60, 207.78, 195.44, 222.12
202, 2017-11-9 14:36:8, -0.45, -0.49, -0.41, -0.16, -0.20, -0.12, -0.45, -0.09, -0.03, -0.15, -0.56, 0.24, 0.52, 0.34, 0.76, 0.09, -0.48, 0.72, 21.35, 17.32, 25.60, -249.77, -256.00, -241.28, 208.60, 203.72, 219.36
203, 2017-11-9 14:36:16, -0.44, -0.48, -0.37, -0.17, -0.27, -0.10, -0.44, -0.15, -0.03, -0.12, -0.73, 0.67, 0.57, 0.09, 1.04, 0.10, -0.76, 1.45, 28.31, 9.96, 359.84, -244.13, -268.88, -230.24, 209.85, -9.72, 225.80
204, 2017-11-9 14:36:23, -0.44, -0.46, -0.42, -0.13, -0.15, -0.10, -0.44, -0.15, -0.09, -0.08, -0.52, 0.46, 0.53, 0.24, 0.72, 0.14, -0.45, 0.59, 35.59, 24.68, 39.40, -228.82, -236.68, -221.96, 220.92, 212.00, 233.16
205, 2017-11-9 14:36:30, -0.45, -0.46, -0.44, -0.14, -0.16, -0.12, -0.45, -0.09, -0.05, -0.15, -0.48, 0.08, 0.51, 0.34, 0.61, 0.01, -0.26, 0.21, 55.22, 46.76, 64.24, -305.53, -313.04, -298.32, 214.77, -15.24, 223.04
206, 2017-11-9 14:36:37, -0.47, -0.49, -0.46, -0.11, -0.12, -0.09, -0.47, -0.04, 0.01, -0.19, -0.37, 0.09, 0.50, 0.44, 0.55, 0.04, -0.08, 0.25, 54.61, 49.52, 62.40, -324.71, -336.04, -306.60, 214.30, -11.56, 223.96
207, 2017-11-9 14:36:44, -0.43, -0.46, -0.41, -0.16, -0.19, -0.13, -0.43, -0.15, -0.07, -0.19, -0.83, 0.59, 0.53, 0.28, 0.76, 0.05, -0.39, 0.80, 41.75, 32.96, 48.60, -316.33, -322.24, -310.28, 221.32, 212.92, 227.64
208, 2017-11-9 14:36:51, -0.44, -0.46, -0.43, -0.18, -0.21, -0.15, -0.44, -0.09, -0.02, -0.17, -0.60, 0.27, 0.56, 0.11, 0.95, -0.05, -0.70, 0.37, 63.02, 50.44, 72.52, -292.69, -305.68, -283.60, 207.20, 198.20, 214.76
209, 2017-11-9 14:36:58, -0.43, -0.45, -0.42, -0.19, -0.20, -0.18, -0.43, -0.07, -0.03, -0.19, -0.30, -0.09, 0.54, 0.49, 0.60, 0.07, -0.02, 0.21, 73.85, 71.60, 78.04, -281.15, -287.28, -270.72, 216.60, 213.84, 223.96
210, 2017-11-9 14:37:5, -0.43, -0.45, -0.42, -0.20, -0.23, -0.18, -0.43, -0.05, -0.01, -0.19, -0.82, 0.00, 0.54, 0.44, 0.80, 0.04, -0.52, 0.29, 58.78, 54.12, 63.32, -284.39, -292.80, -279.92, 208.99, -18.00, 221.20
211, 2017-11-9 14:37:12, -0.43, -0.44, -0.43, -0.20, -0.21, -0.19, -0.43, -0.05, -0.02, -0.17, -0.30, 0.00, 0.53, 0.48, 0.60, 0.09, -0.00, 0.28, 62.99, 58.72, 67.00, -281.79, -285.44, -278.08, 209.05, 205.56, 219.36
212, 2017-11-9 14:37:19, -0.44, -0.46, -0.42, -0.18, -0.23, -0.14, -0.44, -0.09, -0.02, -0.23, -0.80, 0.18, 0.56, 0.18, 0.93, 0.08, -0.49, 0.57, 56.88, 52.28, 62.40, -284.08, -287.28, -280.84, 196.10, 191.76, 203.72
213, 2017-11-9 14:37:26, -0.45, -0.50, -0.36, -0.18, -0.22, -0.13, -0.45, -0.04, 0.06, -0.17, -0.86, 0.94, 0.60, 0.33, 0.87, 0.06, -0.62, 1.01, 60.55, 48.60, 68.84, -277.31, -287.28, -267.96, 215.46, 207.40, 224.88
214, 2017-11-9 14:37:33, -0.46, -0.52, -0.38, -0.13, -0.20, -0.11, -0.46, -0.11, 0.02, -0.18, -0.89, 0.38, 0.54, 0.36, 0.91, 0.03, -0.46, 0.67, 27.63, 22.84, 34.80, -295.47, -310.28, -289.12, 203.72, 198.20, 213.84
215, 2017-11-9 14:37:40, -0.45, -0.55, -0.39, -0.18, -0.26, -0.12, -0.45, -0.13, 0.04, -0.30, -1.20, 0.71, 0.61, 0.07, 1.09, -0.03, -1.05, 1.45, 40.35, 31.12, 50.44, -288.60, -295.56, -279.00, 213.48, 205.56, 226.72
